사번,성명,재직상태,원소속부서,원소속사업장,원소속근무지역,직위코드명,직급명,직급코드,직책코드명,입사일,그룹입사일,최종학력,파견조직코드명,파견지역,파견내용,휴직구분명
M1001,김도윈,재직,해양사업부,본사,서울,전무,전무,A0,사업부장,20080302,20080302,석사,,,,
M1002,이서준,재직,해양사업전략팀,본사,서울,책임,책임,A1,팀장,20140715,20140715,석사,,,,
M1003,박하은,재직,해양사업전략팀,본사,서울,대리,대리,S2,,20200601,20200601,학사,,,,
M1004,최지안,재직,해양사업단,본사,서울,상무,상무,A0,사업단장,20100114,20100114,석사,,,,
M1005,정하윤,재직,해양사업단,본사,서울,사원,계약사원,G1,,20230410,20230410,학사,,,,
M1006,강민준,재직,소나개발팀,본사,서울,책임,책임,R1,팀장,20150922,20150922,석사,,,,
M1007,윤서연,재직,소나개발팀,본사,서울,수석,수석,R0,,20051103,20051103,박사,,,,
M1008,임도현,재직,해양연구소,거제연구소,거제,전무,전무,A0,연구소장,20070520,20070520,박사,,,,
M1009,한지우,재직,해양시스템1팀,거제연구소,거제,책임,책임,R1,팀장,20160208,20160208,석사,,,,
M1010,오승민,재직,해양시스템1팀,거제연구소,거제,사원,사원,R3,,20220304,20220304,학사,,,,
M1011,신예은,재직,해양시스템2팀,거제연구소,거제,책임,책임,R1,팀장,20130613,20130613,석사,,,,
M1012,조민서,재직,해양시스템3팀,거제연구소,거제,책임,책임,R1,팀장,20120227,20120227,석사,,,,
M1013,배주원,재직,해양시스템4팀,거제연구소,거제,책임,책임,R1,팀장,20110809,20110809,박사,,,,
M1014,홍시우,재직,해양시스템5팀,거제연구소,거제,책임,책임,R1,팀장,20170501,20170501,석사,,,,
M1015,서지호,재직,해양SW1팀,거제연구소,거제,책임,책임,R1,팀장,20140303,20140303,석사,,,,
M1016,문가은,재직,해양SW2팀,거제연구소,거제,책임,책임,R1,팀장,20180912,20180912,학사,,,,
M1017,권태윤,재직,Smart Vessel사업센터,본사,서울,상무,상무,A0,사업센터장,20090617,20090617,석사,,,,
M1018,황수아,재직,Smart Vessel사업팀,본사,서울,책임,책임,S1,팀장,20150410,20150410,학사,,,,
M1019,유준호,재직,Smart Battleship체계팀,거제연구소,거제,책임,책임,R1,팀장,20160719,20160719,석사,,,,
M1020,노은채,재직,무인체계팀,거제연구소,거제,책임,책임,R1,팀장,20190225,20190225,학사,,,,
M1032,유하진,재직,해양시스템2팀,거제연구소,거제,선임,선임,R2,,20190603,20190603,석사,국방기술품질원,대전,기술지원파견,
M1033,조민재,재직,Smart Vessel사업팀,본사,서울,선임,선임,S2,,20180411,20180411,학사,조선해양기자재연구원,부산,공동연구파견,
M1034,문서준,재직,해양사업단,본사,서울,선임,선임,S2,,20170920,20170920,학사,해군본부,서울,연락장교파견,
M1021,안유진,재직,해양시스템2팀,거제연구소,거제,사원,사원,G3,,20260803,20260803,학사,,,,
M1022,배준혁,재직,해양사업전략팀,본사,서울,대리,대리,G4,,20190812,20190812,학사,,,,
M1023,정다인,재직,경영지원팀,본사,서울,선임,선임,R2,,20200516,20200516,석사,,,,
M1025,이하람,휴직,해양SW1팀,거제연구소,거제,선임,선임,R2,,20190105,20190105,학사,,,,육아휴직
M1035,최윤아,재직,해양연구소,거제연구소,거제,선임,선임,R2,,20180611,20180611,석사,,,,
M1026,장은우,재직,해양시스템4팀,거제연구소,거제,사원,사원,R3,,20240108,20240108,학사,,,,
M1027,서예준,재직,Smart Vessel사업팀,거제조선소,거제,선임,선임,S2,,20210920,20210920,학사,,,,
M1028,백소율,재직,해양시스템5팀,거제연구소,거제,사원,사원,R3,,20230217,20230217,학사,,,,
M1029,남도윤,재직,해양SW2팀,거제연구소,거제,과장,과장,R2,,20210302,20210302,학사,,,,
M1030,구현우,재직,해양사업전략팀,본사,서울,책임,책임,A1,,20160404,20160404,석사,방위사업청,서울,정부부처 파견근무,
M1031,오하은,재직,무인체계팀,거제연구소,거제,선임,선임,R2,,20190711,20190711,학사,,,,
